date,startsSpot,streamsSpot,listenersSpot,followersSpot,ivoox
18-04-21,1,1,1,2,3
19-04-21,1,1,1,2,4
20-04-21,1,1,1,3,1
21-04-21,0,0,0,3,0
22-04-21,0,0,0,3,0
23-04-21,0,0,0,3,0
24-04-21,4,2,4,9,0
25-04-21,2,2,2,11,0
26-04-21,0,0,0,11,1
27-04-21,46,40,27,24,2
28-04-21,48,39,33,32,7
29-04-21,17,13,13,34,1
30-04-21,21,13,14,38,0
01-05-21,11,8,7,38,0
02-05-21,7,7,5,38,0
03-05-21,13,11,6,39,0
04-05-21,28,20,17,44,5
05-05-21,27,21,22,48,3
06-05-21,20,11,11,48,0
07-05-21,25,18,14,48,1
08-05-21,11,9,5,48,0
09-05-21,7,6,6,50,0
10-05-21,9,6,3,50,0
11-05-21,27,24,15,54,2
12-05-21,32,22,18,55,0
13-05-21,14,12,12,56,0
14-05-21,12,7,6,56,0
15-05-21,24,11,6,56,0
16-05-21,2,2,2,56,1
17-05-21,12,11,4,56,0
18-05-21,30,24,17,63,3
19-05-21,55,35,18,65,0
20-05-21,17,14,12,66,5
21-05-21,11,8,5,68,2
22-05-21,30,20,13,69,0
23-05-21,16,12,7,70,0
24-05-21,2,2,2,70,4
25-05-21,31,25,16,72,5
26-05-21,40,26,20,74,13
27-05-21,19,13,11,75,2
28-05-21,9,8,7,75,0
29-05-21,1,1,1,76,0
30-05-21,8,6,8,76,0
31-05-21,4,3,3,76,0
01-06-21,23,19,12,78,3
02-06-21,34,27,15,79,1
03-06-21,5,4,5,81,0
04-06-21,20,9,6,82,0
05-06-21,16,13,9,82,0
06-06-21,7,4,4,82,0
07-06-21,4,4,3,82,0
08-06-21,11,10,6,82,2
09-06-21,22,19,10,82,7
10-06-21,21,19,9,82,0
11-06-21,15,11,7,83,0
12-06-21,7,5,5,83,0
13-06-21,15,10,6,83,0
14-06-21,6,5,3,83,0
15-06-21,12,10,8,84,5
16-06-21,19,14,12,87,1
17-06-21,11,4,5,87,0
18-06-21,6,4,5,87,2
19-06-21,2,2,2,87,0
20-06-21,17,12,9,88,0
21-06-21,11,9,7,88,0
22-06-21,3,3,3,88,5
23-06-21,13,5,9,96,7
24-06-21,19,10,6,99,4
25-06-21,11,8,6,99,3
26-06-21,12,10,7,99,1
27-06-21,9,6,5,99,0
28-06-21,7,5,5,100,0
29-06-21,13,10,8,100,9
30-06-21,13,12,8,101,1
01-07-21,15,10,6,103,1
02-07-21,4,3,3,103,0
03-07-21,16,14,7,103,0
04-07-21,14,11,8,104,0
05-07-21,14,10,7,105,2
06-07-21,13,7,7,107,5
07-07-21,18,14,14,107,2
08-07-21,7,4,5,107,5
09-07-21,14,8,7,108,1
10-07-21,6,6,5,108,0
11-07-21,8,6,4,109,0
12-07-21,20,13,5,110,0
13-07-21,16,13,9,112,11
14-07-21,39,32,12,113,1
15-07-21,20,12,11,113,2
16-07-21,10,8,8,113,0
17-07-21,9,4,6,114,0
18-07-21,3,1,3,114,5
19-07-21,6,5,5,114,0
20-07-21,8,3,7,116,23
21-07-21,3,3,3,116,0
22-07-21,9,8,2,116,4
23-07-21,8,4,3,116,0
24-07-21,3,1,2,116,2
25-07-21,4,3,2,116,1
26-07-21,6,4,3,117,0
27-07-21,4,3,4,117,4
28-07-21,10,8,9,117,8
29-07-21,17,16,10,118,2
30-07-21,13,10,7,118,3
31-07-21,25,15,7,120,3
01-08-21,7,5,3,120,4
02-08-21,1,0,1,120,1
03-08-21,22,11,12,124,8
04-08-21,22,16,13,125,2
05-08-21,1,1,1,125,0
06-08-21,6,4,4,125,5
07-08-21,3,3,3,125,0
08-08-21,10,7,4,125,0
09-08-21,5,3,3,126,0
10-08-21,6,6,5,126,6
11-08-21,20,5,3,127,19
12-08-21,23,14,8,127,35
13-08-21,4,4,1,127,4
14-08-21,2,2,2,127,3
15-08-21,0,0,0,127,2
16-08-21,3,2,1,127,4
17-08-21,13,8,9,129,15
18-08-21,36,27,17,130,4
19-08-21,16,13,7,131,2
20-08-21,43,12,8,131,0
21-08-21,6,4,4,131,0
22-08-21,7,7,7,131,1
23-08-21,5,5,3,131,5
24-08-21,12,9,6,131,6
25-08-21,16,12,5,132,1
26-08-21,14,11,6,132,2
27-08-21,17,14,6,133,0
28-08-21,10,8,5,133,0
29-08-21,11,10,5,134,5
30-08-21,7,6,5,134,0
31-08-21,9,7,5,135,12
01-09-21,16,14,10,136,0
02-09-21,8,6,7,137,0
03-09-21,10,5,6,137,0
04-09-21,0,0,0,138,0
05-09-21,9,6,4,138,1
06-09-21,0,0,0,138,0
07-09-21,14,11,9,138,5
08-09-21,10,8,7,138,8
09-09-21,20,20,8,138,0
10-09-21,11,9,5,138,16
11-09-21,0,0,0,138,0
12-09-21,7,3,4,138,1
13-09-21,2,0,2,138,0
14-09-21,19,5,3,139,46
15-09-21,15,12,7,140,11
16-09-21,4,2,3,140,0
17-09-21,6,6,4,140,1
18-09-21,9,4,3,140,0
19-09-21,1,0,1,140,3
20-09-21,9,5,3,140,9
21-09-21,9,6,6,140,9
22-09-21,13,10,10,140,8
23-09-21,1,1,1,141,4
24-09-21,11,9,6,141,5
25-09-21,7,5,5,141,0
26-09-21,6,3,6,141,7
27-09-21,2,0,2,141,7
28-09-21,4,3,3,141,7
29-09-21,14,12,9,141,3
30-09-21,0,0,0,141,1
01-10-21,7,4,4,141,0
02-10-21,3,1,3,141,1
03-10-21,6,3,3,142,0
04-10-21,7,6,4,143,0
05-10-21,9,8,6,142,12
06-10-21,14,12,8,142,23
07-10-21,9,7,3,142,1
08-10-21,5,2,3,142,13
09-10-21,4,3,3,142,0
10-10-21,5,3,5,142,0
11-10-21,9,7,4,143,3
12-10-21,9,9,5,144,32
13-10-21,34,26,19,144,5
14-10-21,10,7,5,144,0
15-10-21,9,4,6,145,1
16-10-21,18,13,6,145,0
17-10-21,7,1,3,146,0
18-10-21,0,0,0,146,0
19-10-21,13,11,9,148,34
20-10-21,18,17,12,149,0
21-10-21,5,4,3,149,5
22-10-21,8,7,4,149,6
23-10-21,6,4,4,149,1
24-10-21,2,1,2,149,56
25-10-21,7,4,4,151,4
26-10-21,22,18,12,154,8
27-10-21,35,25,16,154,7
28-10-21,13,10,5,154,26
29-10-21,11,9,5,155,7
30-10-21,7,5,4,155,10
31-10-21,7,6,5,155,2
01-11-21,12,6,4,155,0
02-11-21,26,11,8,156,40
03-11-21,14,12,9,158,6
04-11-21,5,2,5,158,5
05-11-21,13,9,5,158,2
06-11-21,1,1,1,159,0
07-11-21,12,9,6,159,0
08-11-21,17,12,6,159,2
09-11-21,21,10,13,159,41
10-11-21,24,21,15,159,5
11-11-21,9,5,6,159,3
12-11-21,8,6,7,160,0
13-11-21,6,6,3,160,3
14-11-21,2,2,2,160,0
